id,cnpj,created_at,updated_at,nome_fantasia,sap,razao,regional
7,09644710000129,"2017-09-26 15:07:38.091338","2017-09-26 15:07:38.091338","25ª CIRCUNSCRIÇÃO DE SERVIÇO MILITAR","","25ª CIRCUNSCRIÇÃO DE SERVIÇO MILITAR",Governo
8,10275431000114,"2017-09-26 15:07:38.167466","2017-09-26 15:07:38.167466","VELOSTER INTERNET E TELECOMUNICAÇÕES","","A. C. VERA FILHO TELECOMUNICAÇÕES E INFORMATICA - ME",Fortaleza
9,04913154000125,"2017-09-26 15:07:38.184373","2017-09-26 15:07:38.184373","ABC WIFI","","ABC WIFI TELECOM LTDA - ME","Belém"
10,03576095000184,"2017-09-26 15:07:38.205851","2017-09-26 15:07:38.205851",ABENET,"","ABENET PROVEDORA DE ACESSO A INTERNET ME","Brasília"
11,13954560000127,"2017-09-26 15:07:38.225925","2017-09-26 15:07:38.225925","ADP3 TELECOM","","ADP3 TELECOMUNICACOES LTDA","São Paulo"
12,01175497000141,"2017-09-26 15:07:38.243811","2017-09-26 15:07:38.243811","AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN","","AGENCIA BRASILEIRA DE INTELIGENCIA-ABIN-GSI-PR",Governo
13,04204444000108,"2017-09-26 15:07:38.264725","2017-09-26 15:07:38.264725",ANA,"","AGÊNCIA NACIONAL DE ÁGUAS",Governo
14,02030715000112,"2017-09-26 15:07:38.307052","2017-09-26 15:07:38.307052",ANATEL,"","AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES",Governo
15,04898488000177,"2017-09-26 15:07:38.329482","2017-09-26 15:07:38.329482",ANTT,"","AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES",Governo
16,04884574000120,"2017-09-26 15:07:38.347718","2017-09-26 15:07:38.347718",ANCINE,"","AGENCIA NACIONAL DO CINEMA","Rio de Janeiro"
17,02313673000208,"2017-09-26 15:07:38.369088","2017-09-26 15:07:38.369088",ANP,"","AGÊNCIA NACIONAL DO PETRÓLEO -  GÁS NATURAL E BIOCOMBUSTÍVEIS",Governo
18,09410651000124,"2017-09-26 15:07:38.388361","2017-09-26 15:07:38.388361","IWP INTERNET","","AGO BRASIL INTERNET LTDA - ME","Porto Alegre"
19,07760064000130,"2017-09-26 15:07:38.411572","2017-09-26 15:07:38.411572","AKTO TECNOLOGIA","","AKTO TECNOLOGIA EIRELI - EPP","Belém"
20,04022409000160,"2017-09-26 15:07:38.436794","2017-09-26 15:07:38.436794",SGNET-RS,"","ALESSIO & LONGHI LTDA","Porto Alegre"
21,05492370000107,"2017-09-26 15:07:38.458795","2017-09-26 15:07:38.458795",WOMP,"","ALFA TELECOMUNICAÇOES LTDA - ME","Belém"
22,13126124000160,"2017-09-26 15:07:38.480291","2017-09-26 15:07:38.480291","ON LINE VALE","","ALIANCA TELECOM INTERNET E INFORMATICA LTDA - ME","São Paulo"
23,08407644000100,"2017-09-26 15:07:38.505076","2017-09-26 15:07:38.505076","VIRTUAL STAR","","ALMEIDA E GOMES LTDA - ME","Belém"
24,04113958000140,"2017-09-26 15:07:38.525440","2017-09-26 15:07:38.525440",ALPINET,"","ALPINET INFORMÁTICA LTDA - ME","Rio de Janeiro"
25,18279167000107,"2017-09-26 15:07:38.553932","2017-09-26 15:07:38.553932","TCHÊNET","","ANDRES REFATTE CHEGUHEN EIRELI - ME","Porto Alegre"
